,ticker,security,industry
306,MGM,MGM Resorts International,Consumer Discretionary
307,MCHP,Microchip Technology,Information Technology
308,MU,Micron Technology,Information Technology
309,MSFT,Microsoft Corp.,Information Technology
310,MAA,Mid-America Apartments,Real Estate
311,MHK,Mohawk Industries,Consumer Discretionary
312,TAP,Molson Coors Beverage Company,Consumer Staples
313,MDLZ,Mondelez International,Consumer Staples
314,MNST,Monster Beverage,Consumer Staples
315,MCO,Moody's Corp,Financials
316,MS,Morgan Stanley,Financials
317,MOS,The Mosaic Company,Materials
318,MSI,Motorola Solutions Inc.,Information Technology
319,MSCI,MSCI Inc,Financials
320,NDAQ,"Nasdaq, Inc.",Financials
321,NOV,National Oilwell Varco Inc.,Energy
322,NTAP,NetApp,Information Technology
323,NFLX,Netflix Inc.,Communication Services
324,NWL,Newell Brands,Consumer Discretionary
325,NEM,Newmont Corporation,Materials
326,NWSA,News Corp. Class A,Communication Services
327,NWS,News Corp. Class B,Communication Services
328,NEE,NextEra Energy,Utilities
329,NLSN,Nielsen Holdings,Industrials
330,NKE,"Nike, Inc.",Consumer Discretionary
331,NI,NiSource Inc.,Utilities
332,NSC,Norfolk Southern Corp.,Industrials
333,NTRS,Northern Trust Corp.,Financials
334,NOC,Northrop Grumman,Industrials
335,NLOK,NortonLifeLock,Information Technology
336,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
337,NRG,NRG Energy,Utilities
338,NUE,Nucor Corp.,Materials
339,NVDA,Nvidia Corporation,Information Technology
340,NVR,"NVR, Inc.",Consumer Discretionary
341,ORLY,O'Reilly Automotive,Consumer Discretionary
342,OXY,Occidental Petroleum,Energy
343,ODFL,Old Dominion Freight Line,Industrials
344,OMC,Omnicom Group,Communication Services
345,OKE,ONEOK,Energy
346,ORCL,Oracle Corp.,Information Technology
347,PCAR,PACCAR Inc.,Industrials
348,PKG,Packaging Corporation of America,Materials
349,PH,Parker-Hannifin,Industrials
350,PAYX,Paychex Inc.,Information Technology
351,PYPL,PayPal,Information Technology
352,PNR,Pentair plc,Industrials
353,PBCT,People's United Financial,Financials
354,PEP,PepsiCo Inc.,Consumer Staples
355,PKI,PerkinElmer,Health Care
356,PRGO,Perrigo,Health Care
357,PFE,Pfizer Inc.,Health Care
358,PM,Philip Morris International,Consumer Staples
359,PSX,Phillips 66,Energy
360,PNW,Pinnacle West Capital,Utilities
361,PXD,Pioneer Natural Resources,Energy
362,PNC,PNC Financial Services,Financials
363,PPG,PPG Industries,Materials
364,PPL,PPL Corp.,Utilities
365,PFG,Principal Financial Group,Financials
366,PG,Procter & Gamble,Consumer Staples
367,PGR,Progressive Corp.,Financials
368,PLD,Prologis,Real Estate
369,PRU,Prudential Financial,Financials
370,PEG,Public Service Enterprise Group (PSEG),Utilities
371,PSA,Public Storage,Real Estate
372,PHM,PulteGroup,Consumer Discretionary
373,PVH,PVH Corp.,Consumer Discretionary
374,QRVO,Qorvo,Information Technology
375,PWR,Quanta Services Inc.,Industrials
376,QCOM,QUALCOMM Inc.,Information Technology
377,DGX,Quest Diagnostics,Health Care
378,RL,Ralph Lauren Corporation,Consumer Discretionary
379,RJF,Raymond James Financial Inc.,Financials
380,RTX,Raytheon Technologies,Industrials
381,O,Realty Income Corporation,Real Estate
382,REG,Regency Centers Corporation,Real Estate
383,REGN,Regeneron Pharmaceuticals,Health Care
384,RF,Regions Financial Corp.,Financials
385,RSG,Republic Services Inc,Industrials
386,RMD,ResMed,Health Care
387,RHI,Robert Half International,Industrials
388,ROK,Rockwell Automation Inc.,Industrials
389,ROL,Rollins Inc.,Industrials
390,ROP,Roper Technologies,Industrials
391,ROST,Ross Stores,Consumer Discretionary
392,RCL,Royal Caribbean Group,Consumer Discretionary
393,SPGI,"S&P Global, Inc.",Financials
394,CRM,Salesforce.com,Information Technology
395,SBAC,SBA Communications,Real Estate
396,SLB,Schlumberger Ltd.,Energy
397,STX,Seagate Technology,Information Technology
398,SEE,Sealed Air,Materials
399,SRE,Sempra Energy,Utilities
400,NOW,ServiceNow,Information Technology
401,SHW,Sherwin-Williams,Materials
402,SPG,Simon Property Group Inc,Real Estate
403,SWKS,Skyworks Solutions,Information Technology
404,SLG,SL Green Realty,Real Estate
405,SNA,Snap-on,Industrials
406,SO,Southern Company,Utilities
407,LUV,Southwest Airlines,Industrials
408,SWK,Stanley Black & Decker,Industrials
409,SBUX,Starbucks Corp.,Consumer Discretionary
410,STT,State Street Corp.,Financials
411,STE,STERIS plc,Health Care
412,SYK,Stryker Corp.,Health Care
413,SIVB,SVB Financial,Financials
414,SYF,Synchrony Financial,Financials
415,SNPS,Synopsys Inc.,Information Technology
416,SYY,Sysco Corp.,Consumer Staples
417,TMUS,T-Mobile US,Communication Services
418,TROW,T. Rowe Price Group,Financials
419,TTWO,Take-Two Interactive,Communication Services
420,TPR,"Tapestry, Inc.",Consumer Discretionary
421,TGT,Target Corp.,Consumer Discretionary
422,TEL,TE Connectivity Ltd.,Information Technology
423,FTI,TechnipFMC,Energy
424,TFX,Teleflex,Health Care
425,TXN,Texas Instruments,Information Technology
426,TXT,Textron Inc.,Industrials
427,TMO,Thermo Fisher Scientific,Health Care
428,TIF,Tiffany & Co.,Consumer Discretionary
429,TJX,TJX Companies Inc.,Consumer Discretionary
430,TSCO,Tractor Supply Company,Consumer Discretionary
431,TT,Trane Technologies plc,Industrials
432,TDG,TransDigm Group,Industrials
433,TRV,The Travelers Companies Inc.,Financials
434,TFC,Truist Financial,Financials
435,TWTR,"Twitter, Inc.",Communication Services
436,TSN,Tyson Foods,Consumer Staples
437,UDR,"UDR, Inc.",Real Estate
438,ULTA,Ulta Beauty,Consumer Discretionary
439,USB,U.S. Bancorp,Financials
440,UAA,Under Armour (Class A),Consumer Discretionary
441,UA,Under Armour (Class C),Consumer Discretionary
442,UNP,Union Pacific Corp,Industrials
443,UAL,United Airlines Holdings,Industrials
444,UNH,UnitedHealth Group Inc.,Health Care
445,UPS,United Parcel Service,Industrials
446,URI,"United Rentals, Inc.",Industrials
447,UHS,Universal Health Services,Health Care
448,UNM,Unum Group,Financials
449,VLO,Valero Energy,Energy
450,VAR,Varian Medical Systems,Health Care
451,VTR,Ventas Inc,Real Estate
452,VRSN,Verisign Inc.,Information Technology
453,VRSK,Verisk Analytics,Industrials
454,VZ,Verizon Communications,"Communication Services
"
455,VRTX,Vertex Pharmaceuticals Inc,Health Care
456,VFC,VF Corporation,Consumer Discretionary
457,VIAC,ViacomCBS,Communication Services
458,VTRS,Viatris,Health Care
459,V,Visa Inc.,Information Technology
460,VNO,Vornado Realty Trust,Real Estate
461,VMC,Vulcan Materials,Materials
462,WRB,W. R. Berkley Corporation,Financials
463,WAB,Westinghouse Air Brake Technologies Corp,Industrials
464,WMT,Walmart,Consumer Staples
465,WBA,Walgreens Boots Alliance,Consumer Staples
466,DIS,The Walt Disney Company,Communication Services
467,WM,Waste Management Inc.,Industrials
468,WAT,Waters Corporation,Health Care
469,WEC,WEC Energy Group,Utilities
470,WFC,Wells Fargo,Financials
471,WELL,Welltower Inc.,Real Estate
472,WDC,Western Digital,Information Technology
473,WU,Western Union Co,Information Technology
474,WRK,WestRock,Materials
475,WY,Weyerhaeuser,Real Estate
476,WHR,Whirlpool Corp.,Consumer Discretionary
477,WMB,Williams Companies,Energy
478,WLTW,Willis Towers Watson,Financials
479,WYNN,Wynn Resorts Ltd,Consumer Discretionary
480,XEL,Xcel Energy Inc,Utilities
481,XRX,Xerox,Information Technology
482,XLNX,Xilinx,Information Technology
483,XYL,Xylem Inc.,Industrials
484,YUM,Yum! Brands Inc,Consumer Discretionary
485,ZBRA,Zebra Technologies,Information Technology
486,ZBH,Zimmer Biomet,Health Care
487,ZION,Zions Bancorp,Financials
488,ZTS,Zoetis,Health Care
